Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,PortLabel,Length_um,PeakIL_dB,PeakIL_at_1310_dB,IL_drop_vs_REF_dB,dIL_dV_dB_per_V,I_at_-1V_pA,I_at_-2V_pA
D23,20190531_072042,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_2/OUT_2,1500.0,-6.866490287780753,-6.866490287780753,-0.6420478820800941,0.0053846837930845316,-120.68169999999999,-41.07345
D23,20190531_072042,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_3/OUT_3,2500.0,-7.600473647214798,-7.600473647214798,-1.3760312415141396,0.004907165451015797,-120.84930000000001,-72.53968
D23,20190531_072042,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_1/OUT_1,500.0,-6.77437142735899,-6.77437142735899,-0.07199673298802356,0.014396425259362002,-121.9805,-27.41433
D23,20190531_072042,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_2/OUT_2,1500.0,-7.473047551420651,-7.473047551420651,-0.7706728570496839,0.0010580486827510712,-119.71809999999999,-32.44219
D23,20190531_072042,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_3/OUT_3,2500.0,-8.068553963486199,-8.068553963486199,-1.3661792691152321,0.004392419612790328,-120.4723,-68.55928
D23,20190531_072042,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,1310.0,IN_1/OUT_1,500.0,-7.27269955271308,-7.27269955271308,-0.2864321401613372,0.014035140057860974,-116.45,-70.36094
D23,20190531_072042,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,1310.0,IN_2/OUT_2,1500.0,-7.944539970281169,-7.944539970281169,-0.9582725577294262,-0.010344893176039822,-119.63430000000001,-68.97827
D23,20190531_072042,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,1310.0,IN_3/OUT_3,2500.0,-8.511544603289945,-8.511544603289945,-1.5252771907382021,0.003564620210646702,-122.9441,-35.12374
D23,20190531_072042,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,1310.0,IN_1/OUT_1,500.0,-6.345379238128516,-6.345379238128516,-0.2008451078394291,-0.009930665454432944,-121.9386,-63.27988
D23,20190531_072042,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,1310.0,IN_2/OUT_2,1500.0,-6.958107675824788,-6.958107675824788,-0.8135735455357009,-0.011207446585218337,-120.975,-32.651630000000004
D23,20190531_072042,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,1310.0,IN_3/OUT_3,2500.0,-7.406018170443448,-7.406018170443448,-1.261484040154361,-0.007283277298176312,-120.0114,-25.52879
D23,20190531_072042,"(2,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,-3,O,1310.0,IN_1/OUT_1,500.0,-7.017467720340009,-7.017467720340009,-0.12048372114547234,-0.0008527578598808358,-122.31569999999999,-68.05648000000001
D23,20190531_072042,"(2,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,-3,O,1310.0,IN_2/OUT_2,1500.0,-7.603428173065259,-7.603428173065259,-0.7064441738707226,0.008733197376931623,-119.5505,-26.53448
D23,20190531_072042,"(2,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,-3,O,1310.0,IN_3/OUT_3,2500.0,-8.175296183713975,-8.175296183713975,-1.2783121845194385,0.004289143977751577,-120.68169999999999,-33.57346
D23,20190531_072042,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,1310.0,IN_1/OUT_1,500.0,-7.161609689394621,-7.161609689394621,-0.14552438259126177,-0.003657459054924591,-126.0444,-72.07877
D23,20190531_072042,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,1310.0,IN_2/OUT_2,1500.0,-7.883492108547318,-7.883492108547318,-0.8674068017439591,0.01021775067318851,-121.3521,-70.77987999999999
D23,20190531_072042,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,1310.0,IN_3/OUT_3,2500.0,-8.59932436261868,-8.59932436261868,-1.5832390558153202,-0.00014151368348532884,-122.9022,-37.51193
D23,20190531_072042,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,1310.0,IN_1/OUT_1,500.0,-6.826650402762648,-6.826650402762648,-0.20877425158928276,0.013512439787152334,-121.14260000000002,-63.61515
D23,20190531_072042,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,1310.0,IN_2/OUT_2,1500.0,-7.416683341517604,-7.416683341517604,-0.7988071903442391,0.013589399248729228,-118.0421,-66.79948
D23,20190531_072042,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,1310.0,IN_3/OUT_3,2500.0,-8.10110380172728,-8.10110380172728,-1.483227650553915,0.011192885418329373,-118.7963,-33.19632
D23,20190531_072042,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,1310.0,IN_1/OUT_1,500.0,-5.93675838130536,-5.93675838130536,-0.15071937221109533,-0.007374252353489968,-121.51969999999999,-29.844409999999996
D23,20190531_072042,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,1310.0,IN_2/OUT_2,1500.0,-6.522948246002149,-6.522948246002149,-0.7369092369078842,0.0025105657262602717,-121.31020000000001,-66.88329
D23,20190531_072042,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,1310.0,IN_3/OUT_3,2500.0,-6.993659538797805,-6.993659538797805,-1.20762052970354,-0.00043078683058666244,-120.8912,-24.35568
D23,20190531_072042,"(2,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,0,O,1310.0,IN_1/OUT_1,500.0,-5.920285234451379,-5.920285234451379,-0.11055096221704108,0.019185051161695763,-119.17340000000002,-28.79696
D23,20190531_072042,"(2,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,0,O,1310.0,IN_2/OUT_2,1500.0,-6.461106228105946,-6.461106228105946,-0.6513719558716078,-0.013122756837367158,-118.7544,-30.72427
D23,20190531_072042,"(2,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,0,O,1310.0,IN_3/OUT_3,2500.0,-7.158754236844084,-7.158754236844084,-1.349019964609746,0.02046625704718923,-118.46110000000002,-71.32459
D23,20190531_072042,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,1310.0,IN_1/OUT_1,500.0,-5.861374835968033,-5.861374835968033,-0.008730182647774143,0.002273463737724348,-121.1845,-73.08431
D23,20190531_072042,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,1310.0,IN_2/OUT_2,1500.0,-6.454405994415213,-6.454405994415213,-0.6017613410949538,-0.0018872723961747492,-120.9331,-27.875130000000002
D23,20190531_072042,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,1310.0,IN_3/OUT_3,2500.0,-6.894453968320517,-6.894453968320517,-1.0418093150002576,-0.009700481003474778,-119.76,-25.02605
D23,20190531_072042,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,1310.0,IN_1/OUT_1,500.0,-6.644663242378632,-6.644663242378632,-0.03316656748457003,0.006931436216652313,-117.24610000000001,-25.3613
D23,20190531_072042,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,1310.0,IN_2/OUT_2,1500.0,-7.286297807693324,-7.286297807693324,-0.6748011327992618,0.0001641278125550558,-120.9331,-69.35539
D23,20190531_072042,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,1310.0,IN_3/OUT_3,2500.0,-7.8400590395686685,-7.8400590395686685,-1.2285623646746062,-0.016009782650772915,-123.27929999999999,-33.32201
D23,20190531_072042,"(2,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,2,O,1310.0,IN_1/OUT_1,500.0,-6.10150041483878,-6.10150041483878,-0.12693100832942328,-5.272875323667892e-05,-116.7014,-73.41959
D23,20190531_072042,"(2,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,2,O,1310.0,IN_2/OUT_2,1500.0,-6.863542804912662,-6.863542804912662,-0.888973398403305,-0.018699673258069857,-120.3885,-69.10396
D23,20190531_072042,"(2,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,2,O,1310.0,IN_3/OUT_3,2500.0,-7.320796186273748,-7.320796186273748,-1.3462267797643914,-0.026050416687754954,-121.81290000000001,-69.94193
D23,20190531_072042,"(0,3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,3,O,1310.0,IN_1/OUT_1,500.0,-6.435888738048304,-6.435888738048304,-0.10811325005233563,0.007323874283464114,-119.2153,-66.33858
