Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Vpi_V,Vpi_L_V_cm,PhaseShifter_Length_um,ER_at_-2V_dB,ER_at_0V_dB
D23,20190531_072042,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.966900000000123,1314.8037,-4.1257142855346185,-6.889073371887207,-6.889073371887207,-119.5505,-65.20733,True,1207.899930800539,45.900197370420486,380.0,31.827784538269043,31.789917945861816
D23,20190531_072042,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.787199999999984,1313.8005,2.7714285717089644,-7.172109436988831,-7.172109436988831,-120.2209,-36.04553,True,1765.73195858424,67.09781442620111,380.0,33.73808526992798,33.5939302444458
D23,20190531_072042,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.973099999999931,1305.0242,0.6628571429651829,-6.998764562606811,-6.998764562606811,-117.1204,-38.14053,True,7522.812498773793,285.86687495340414,380.0,32.271864891052246,31.970465660095215
D23,20190531_072042,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.878600000000006,1309.0887,0.08000000024544951,-8.593019485473633,-8.593019485473633,-120.80739999999999,-37.84722,True,61741.24981057054,2346.1674928016805,380.0,33.64289903640747,33.60564136505127
D23,20190531_072042,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.782900000000154,1311.3059,-14.634285714233897,-6.570165157318115,-6.570165157318115,-120.3885,-36.00362,True,334.24590004023605,12.70134420152897,380.0,34.1263108253479,34.15237474441528
D23,20190531_072042,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.825300000000198,1310.6473,-0.15999999956392527,-6.905231475830078,-6.905231475830078,-116.74329999999999,-67.51183999999999,True,30704.062583683528,1166.754378179974,380.0,33.63954210281372,33.86695098876953
D23,20190603_204847,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.936299999999846,1314.6543,-124.05142857138041,-7.23802125453949,-7.23802125453949,213936.40000000002,422613.9,False,40.049115574200755,1.5218663918196287,380.0,29.602038860321045,31.13712739944458
D23,20190603_204847,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.779600000000073,1307.7653,-118.58857142852096,-9.607523918151855,-9.607523918151855,220654.9,435580.0,False,41.23331566522289,1.5668659952784698,380.0,29.27384376525879,27.668540954589844
D23,20190603_204847,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.92470000000003,1314.8851,-147.30285714258247,-8.078666162490846,-8.078666162490846,133723.3,259399.30000000002,False,33.688077042502215,1.280146927615084,380.0,27.968903064727783,33.53519582748413
D23,20190603_204847,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.851100000000088,1307.2708,-112.53714285701761,-9.891438484191895,-9.891438484191895,189391.19999999998,372535.5,False,43.76821620803123,1.6631922159051866,380.0,22.62735366821289,22.860751152038574
D23,20190603_204847,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.740599999999858,1313.0237,-139.9828571426891,-7.410173416137695,-7.410173416137695,173540.30000000002,340431.0,False,34.792117402172124,1.3221004612825407,380.0,34.14298439025879,34.41890573501587
D23,20190603_204847,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.744300000000067,1310.4999,-147.79999999978634,-7.902754926681519,-7.902754926681519,143576.6,279372.8,False,32.9644790257583,1.2526502029788154,380.0,31.35348606109619,30.66388988494873
D23,20190603_204847,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.697799999999916,1309.3776,-136.58857142830055,-10.18035888671875,-10.18035888671875,199683.8,393715.4,False,35.50004183582293,1.3490015897612713,380.0,29.093727111816406,29.526951789855957
D23,20190603_204847,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.890299999999797,1313.3509,-135.73142857132336,-8.143417739868164,-8.143417739868164,175898.19999999998,345184.80000000005,False,36.43334526167865,1.3844671199437888,380.0,33.264708518981934,32.92054557800293
D23,20190603_204847,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.946099999999888,1314.89,-125.83428571430686,-6.889528274536133,-6.889528274536133,238917.8,473359.0,False,39.52062803686681,1.5017838654009388,380.0,31.884392738342285,31.435407161712646
D23,20190603_204847,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.834299999999985,1313.7595,-134.93142857129882,-7.092537927627563,-7.092537927627563,170937.6,335297.8,False,36.44184347608631,1.38479005209128,380.0,34.018850326538086,33.5744514465332
D23,20190603_204847,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.969499999999925,1305.037,-118.97714285673716,-7.132037162780762,-7.132037162780762,188534.8,370558.5,False,41.896702848228614,1.5920747082326874,380.0,27.071363925933838,32.08413743972778
D23,20190603_204847,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.879799999999932,1309.0519,-135.8799999995683,-8.493072509765625,-8.493072509765625,155611.7,304250.2,False,36.35487194594982,1.381485133946093,380.0,32.96709728240967,32.61757230758667
D23,20190603_204847,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.818500000000085,1311.3043,-127.97142857095228,-6.635082244873047,-6.635082244873047,130227.7,252618.69999999998,False,38.362078589113864,1.4577589863863267,380.0,33.196410179138184,34.62968635559082
D23,20190603_204847,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.747699999999895,1310.5671,-137.80571428537803,-6.896923065185547,-6.896923065185547,135814.30000000002,263769.5,False,35.36754644228197,1.3439667648067148,380.0,33.88769340515137,34.07207202911377
D24,20190531_151815,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.88110000000006,1312.6222,-1.5657142853346697,-6.8826783180236815,-6.8826783180236815,-117.707,-70.61231000000001,True,3155.460767188436,119.90750915316056,380.0,30.24854612350464,30.344656467437744
D24,20190531_151815,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.934799999999996,1307.3969,-2.0285714283336795,-8.801641464233398,-8.801641464233398,-118.41919999999999,-70.86372,True,2448.718310146144,93.05129578555348,380.0,28.730076789855957,28.651996612548828
D24,20190531_151815,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.796400000000176,1305.7441,-2.4685714285428215,-8.687175750732422,-8.687175750732422,-119.6762,-72.91679,True,1984.224537060067,75.40053240828254,380.0,29.14413070678711,29.11018180847168
D24,20190531_151815,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.942299999999932,1306.2409,0.8285714288042372,-9.930381774902344,-9.930381774902344,-120.59790000000001,-66.79948,True,5999.663791417646,227.98722407387055,380.0,24.987256050109863,25.42381477355957
D24,20190531_151815,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.78189999999995,1313.5972,-3.102857142729399,-8.186590194702148,-8.186590194702148,-122.77650000000001,-65.58445,True,1576.2730203227136,59.89837477226312,380.0,33.56157302856445,33.47948455810547
D24,20190531_151815,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.785900000000083,1309.8481,-3.057142856645779,-9.139732360839844,-9.139732360839844,-113.0561,-69.14587,True,1600.4976638116493,60.81891122484267,380.0,27.943856239318848,28.223855018615723
D24,20190531_151815,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.757299999999987,1309.3092,30.92000000045567,-10.716476440429688,-10.716476440429688,-120.30470000000001,-68.01458,True,157.78298835472498,5.995753557479549,380.0,24.82267189025879,24.94075107574463
D24,20190531_151815,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.91210000000001,1312.4095,0.5028571429144106,-8.372539520263672,-8.372539520263672,-122.3995,-37.260580000000004,True,9855.781248877585,374.51968745734825,380.0,34.04849433898926,33.94554901123047
D24,20190531_151815,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.902499999999918,1313.6242,-7.039999999985589,-6.8527559518814085,-6.8527559518814085,-120.0114,-32.232679999999995,True,703.3025568196157,26.725497159145394,380.0,30.57264757156372,30.870240211486816
D24,20190531_151815,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.819799999999987,1310.7002,-5.057142857239355,-7.046367168426514,-7.046367168426514,-120.9331,-62.483909999999995,True,970.8841807724333,36.893598869352466,380.0,32.145487785339355,31.981000900268555
D24,20190531_151815,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.86480000000006,1313.7972,-0.6457142855096668,-6.502496719360352,-6.502496719360352,-122.8184,-72.16256,True,7638.672568792328,290.26955761410846,380.0,32.61940670013428,32.58534240722656
D24,20190531_151815,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.815499999999929,1307.4864,7.314285714628467,-7.962082386016846,-7.962082386016846,-119.13149999999999,-66.50624,True,670.9814452810524,25.49729492067999,380.0,28.563395500183105,28.486929893493652
D24,20190531_151815,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.830800000000067,1308.3986,11.874285714172565,-8.407565927505493,-8.407565927505493,-120.43039999999999,-73.50338,True,413.95332050442863,15.730226179168287,380.0,26.776424407958984,26.70513677597046
D24,20190531_151815,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.89689999999996,1308.0921,4.65142857154884,-7.670004367828369,-7.670004367828369,-121.8548,-39.02045,True,1063.8559582034466,40.42652641173097,380.0,30.973987579345703,30.917701244354248
D24,20190603_225101,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.820900000000165,1312.4875,-110.18857142820373,-6.977557182312012,-6.977557182312012,304715.8,605403.4,False,44.56405901586278,1.6934342426027857,380.0,30.53217840194702,32.43903303146362
D24,20190603_225101,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.834499999999935,1307.3978,-107.65142857144596,-9.097068452835083,-9.097068452835083,299828.89999999997,595391.5,False,45.67751738414221,1.735745660597404,380.0,27.872760772705078,30.043344497680664
D24,20190603_225101,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.78060000000005,1305.6861,-123.64571428563018,-8.669951438903809,-8.669951438903809,233058.5,460699.0,False,39.550905813873115,1.5029344209271784,380.0,29.335119247436523,29.120326042175293
D24,20190603_225101,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.85349999999994,1306.2426,-147.6628571427604,-9.901712322235108,-9.901712322235108,254913.30000000002,504288.89999999997,False,33.364856236235426,1.2678645369769461,380.0,22.929859161376953,25.64531707763672
D24,20190603_225101,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.755699999999933,1313.5701,-138.2571428570964,-8.006197690963745,-8.006197690963745,265657.80000000005,526489.3,False,35.28099814012321,1.340677929324682,380.0,33.53683090209961,33.48180866241455
D24,20190603_225101,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.776599999999917,1309.8096,-132.16571428561312,-9.180018043518066,-9.180018043518066,225853.1,446154.1,False,36.98614293746584,1.405473431623702,380.0,27.973721504211426,28.287545204162598
D24,20190603_225101,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.688700000000154,1309.1374,-136.79428571421184,-10.497353553771973,-10.497353553771973,263335.1,521719.7,False,35.41339446094119,1.3457089895157652,380.0,26.281664848327637,27.459879875183105
